identifier,pref_label,alternate_label,hidden_label,exact_match,close_match,scope_note
http://library.ucsd.edu/ark:/20775/bd0124985k,nuclear outer membrane-endoplasmic reticulum membrane network,,,http://purl.obolibrary.org/obo/GO:0042175|https://www.wikidata.org/wiki/Q21109092,,anatomy
http://library.ucsd.edu/ark:/20775/bd0124987m,spinal nerves,,,http://purl.obolibrary.org/obo/OMIT:0014009,,anatomy
http://library.ucsd.edu/ark:/20775/bd01249884,"TS15,forelimb bud",,,http://purl.obolibrary.org/obo/EMAP:1070,,anatomy
http://library.ucsd.edu/ark:/20775/bd01591107,cortical membranes,,,,,anatomy
http://library.ucsd.edu/ark:/20775/bd0159113s,human immunodeficiency virus,,,http://purl.obolibrary.org/obo/NCIT:C14219|https://www.wikidata.org/wiki/Q15787,,anatomy
http://library.ucsd.edu/ark:/20775/bd0159115t,phagocytic vesicle membrane,,,http://purl.obolibrary.org/obo/GO:0030670|https://www.wikidata.org/wiki/Q14875827,,anatomy
http://library.ucsd.edu/ark:/20775/bd01932405,embryonic cell,,,http://purl.obolibrary.org/obo/CL:0002321|https://www.wikidata.org/wiki/Q882097,,anatomy
http://library.ucsd.edu/ark:/20775/bd01932426,lipid droplets,,,http://purl.obolibrary.org/obo/OMIT:0028888|https://www.wikidata.org/wiki/Q80948960,,anatomy
http://library.ucsd.edu/ark:/20775/bb64192001,Paralabrax nebulifer,Barred sand bass,,https://www.wikidata.org/wiki/Q4863299,https://en.wikipedia.org/wiki/Barred_sand_bass,scientific name
http://library.ucsd.edu/ark:/20775/bb38253214,Panulirus interruptus,California spiny lobster,,https://www.wikidata.org/wiki/Q452353,https://en.wikipedia.org/wiki/California_spiny_lobster,scientific name
http://library.ucsd.edu/ark:/20775/bb9013081k,Mycteroperca jordani,Gulf grouper,,https://www.wikidata.org/wiki/Q2109519,https://en.wikipedia.org/wiki/Gulf_grouper,scientific name
http://library.ucsd.edu/ark:/20775/bb31768506,Haliotis corrugata ,Pink abalone,,https://www.wikidata.org/wiki/Q3096257,https://en.wikipedia.org/wiki/Haliotis_corrugata,scientific name
http://library.ucsd.edu/ark:/20775/bb6077901r,Atractoscion nobilis ,White seabass,,https://www.wikidata.org/wiki/Q1188144,https://en.wikipedia.org/wiki/White_seabass,scientific name
http://library.ucsd.edu/ark:/20775/bb83304803,Paralichthys woolmani,,,https://www.wikidata.org/wiki/Q2489306,,scientific name
http://library.ucsd.edu/ark:/20775/bd0125000h,Siphonaptera,,,http://purl.obolibrary.org/obo/NCBITaxon:7509|https://www.wikidata.org/wiki/Q388162,https://en.wikipedia.org/wiki/Flea,scientific name
http://library.ucsd.edu/ark:/20775/bd0159127b,Aulacodiscus formosus,,,http://purl.obolibrary.org/obo/NCBITaxon_1003206,,scientific name
http://library.ucsd.edu/ark:/20775/bb9421332z,"Portraits, Group",,"group portraits|Photographs, Group|Portraits, group",http://id.worldcat.org/fast/1072366,,topic
http://library.ucsd.edu/ark:/20775/bb6588637g,Refuse and refuse disposal,,Refuse disposal|garbage|rubbish,http://id.worldcat.org/fast/1092888,,topic
http://library.ucsd.edu/ark:/20775/bb8093398r,Constructed language,,,https://www.wikidata.org/wiki/Q33215,http://en.wikipedia.org/wiki/Constructed_language,topic
http://library.ucsd.edu/ark:/20775/bb8945552n,Culture,,,http://id.worldcat.org/fast/885059,http://en.wikipedia.org/wiki/Culture,topic
http://library.ucsd.edu/ark:/20775/bb85720141,Ocean tomography,"Ocean acoustic tomography|""Tomografía acústica del océano""@es|""海洋声学探测""@zh-Hans",,http://id.worldcat.org/fast/1043582|https://www.wikidata.org/wiki/Q7076123,http://en.wikipedia.org/wiki/Ocean_acoustic_tomography,topic
http://library.ucsd.edu/ark:/20775/bb11316744,Skis and skiing,,,http://id.worldcat.org/fast/1120169,http://en.wikipedia.org/wiki/Ski,topic
http://library.ucsd.edu/ark:/20775/bb5978136d,Surface waves (Oceanography),,,http://id.worldcat.org/fast/1139247,http://en.wikipedia.org/wiki/Surface_wave,topic
http://library.ucsd.edu/ark:/20775/bb8980001x,3D modeling,,,https://www.wikidata.org/wiki/Q568742,https://en.wikipedia.org/wiki/3D_modeling,topic
http://library.ucsd.edu/ark:/20775/bb6386122n,3D reconstruction,,,https://www.wikidata.org/wiki/Q4464732,https://en.wikipedia.org/wiki/3D_reconstruction,topic
http://library.ucsd.edu/ark:/20775/bb7751513z,Acoustic Doppler Current Profiler (ADCP),,,https://www.wikidata.org/wiki/Q624383,https://en.wikipedia.org/wiki/Acoustic_Doppler_current_profiler,topic
http://library.ucsd.edu/ark:/20775/bb74102145,Acoustic Doppler Velocimetry (ADV),,,https://www.wikidata.org/wiki/Q4674632,https://en.wikipedia.org/wiki/Acoustic_Doppler_velocimetry,topic
http://library.ucsd.edu/ark:/20775/bb61802908,Blue carbon,,,https://www.wikidata.org/wiki/Q4930066,https://en.wikipedia.org/wiki/Blue_carbon,topic
http://library.ucsd.edu/ark:/20775/bb3996116r,Brewster angle microscopy (BAM),,,https://www.wikidata.org/wiki/Q16743244,https://en.wikipedia.org/wiki/Brewster_angle_microscope,topic
http://library.ucsd.edu/ark:/20775/bb8842577m,Carbohydrate,,,https://www.wikidata.org/wiki/Q11358,https://en.wikipedia.org/wiki/Carbohydrate,topic
http://library.ucsd.edu/ark:/20775/bb0277631p,Ecosystem services,,,https://www.wikidata.org/wiki/Q295865,https://en.wikipedia.org/wiki/Ecosystem_services,topic
http://library.ucsd.edu/ark:/20775/bb02433741,Sino-Japanese War (1937-1945),,,https://www.wikidata.org/wiki/Q170314,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War,topic
http://library.ucsd.edu/ark:/20775/bb0548760c,Ukrainian collaborationism with the Axis powers,,,https://www.wikidata.org/wiki/Q1965318,https://en.wikipedia.org/wiki/Ukrainian_collaborationism_with_the_Axis_powers,topic
http://library.ucsd.edu/ark:/20775/bb2802357c,Tall buildings,,,http://id.worldcat.org/fast/1142303|http://vocab.getty.edu/aat/300004810,,topic
http://library.ucsd.edu/ark:/20775/bb9662484g,"Lighting, Architectural and decorative",,,http://id.worldcat.org/fast/998669|http://vocab.getty.edu/aat/300052015,,topic
